season,name,team,position,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs,usg_overall
2022,Audric Estime,Notre Dame,RB,0.2173,0.172,0.146,0.198,0.153,0.1878
2022,Johnnie Lang,Arkansas State,RB,0.2439,0.192,0.073,0.191,0.125,0.1878
2022,Dominic Richardson,Oklahoma State,RB,0.2512,0.157,0.108,0.232,0.088,0.1874
2022,Henry Parrish Jr.,Miami,RB,0.2244,0.175,0.13,0.222,0.104,0.187
2022,Tyhier Tyler,Army,QB,0.162,0.216,0.207,0.229,0.16,0.1869
2022,Katravis Marsh,South Florida,QB,0.1656,0.166,0.244,0.157,0.242,0.1861
2022,Ronald Awatt,UTEP,RB,0.2337,0.189,0.099,0.174,0.125,0.184
2022,Jaison Patterson,Bowling Green,RB,0.2429,0.176,0.093,0.196,0.104,0.1822
2022,Brock Domann,Louisville,QB,0.125,0.2,0.242,0.18,0.249,0.182
2022,Jabari Small,Tennessee,RB,0.1945,0.192,0.138,0.222,0.12,0.181
2022,Nathaniel Jones,New Mexico,RB,0.2133,0.188,0.102,0.268,0.082,0.1789
2022,Tucker Gleason,Toledo,QB,0.1321,0.173,0.256,0.182,0.246,0.1789
2022,MarShawn Lloyd,South Carolina,RB,0.1929,0.194,0.119,0.251,0.105,0.178
2022,Christopher Brooks,BYU,RB,0.1852,0.201,0.119,0.201,0.148,0.1766
2022,Wayne Taulapapa,Washington,RB,0.177,0.199,0.145,0.227,0.134,0.1763
2022,Casey Filkins,Stanford,RB,0.1884,0.152,0.195,0.209,0.137,0.1761
2022,Ron Cook Jr.,Buffalo,RB,0.2,0.207,0.093,0.219,0.113,0.176
2022,La'Damian Webb,South Alabama,RB,0.2016,0.177,0.117,0.235,0.093,0.1749
2022,Jo'quavious Marks,Mississippi State,RB,0.1865,0.159,0.149,0.198,0.129,0.1733
2022,Jawhar Jordan,Louisville,RB,0.2102,0.142,0.155,0.153,0.143,0.1733
2022,Jamoni Jones,New Mexico State,RB,0.2153,0.141,0.135,0.215,0.1,0.1731
2022,Brenden Brady,UT San Antonio,RB,0.182,0.199,0.103,0.218,0.119,0.1723
2022,Justice Ellison,Wake Forest,RB,0.1957,0.2,0.08,0.248,0.071,0.1721
2022,DK Billingsley,Troy,RB,0.207,0.17,0.104,0.241,0.059,0.1721
2022,Leshon Williams,Iowa,RB,0.2081,0.188,0.096,0.19,0.116,0.1713
2022,Noah Whittington,Oregon,RB,0.1634,0.216,0.113,0.205,0.131,0.1699
2022,Ashton Jeanty,Boise State,RB,0.2006,0.197,0.067,0.173,0.127,0.1696
2022,Dae Dae Hunter,Liberty,RB,0.1847,0.188,0.118,0.185,0.13,0.1694
2022,Hassan Hall,Georgia Tech,RB,0.1768,0.187,0.147,0.125,0.182,0.1693
2022,Victor Rosa,Connecticut,RB,0.1828,0.196,0.106,0.214,0.111,0.1667
2022,Chris Smith,Louisiana,RB,0.1989,0.135,0.131,0.194,0.103,0.1665
2022,Landy Lyddy,Louisiana Tech,QB,0.1425,0.166,0.201,0.153,0.201,0.1657
2022,Star Thomas,New Mexico State,RB,0.2007,0.171,0.083,0.174,0.119,0.165
2022,Brendan Sullivan,Northwestern,QB,0.1472,0.136,0.224,0.142,0.201,0.1644
2022,Athan Kaliakmanis,Minnesota,QB,0.1444,0.152,0.201,0.102,0.252,0.1629
2022,Miyan Williams,Ohio State,RB,0.1832,0.143,0.136,0.214,0.085,0.1628
2022,Trey Lowe III,Southern Mississippi,QB,0.1277,0.163,0.238,0.097,0.25,0.1627
2022,Deion Hankins,UTEP,RB,0.1864,0.189,0.093,0.239,0.089,0.1624
2022,Marcus Carroll,Georgia State,RB,0.1884,0.163,0.102,0.222,0.091,0.162
2022,Dillon Johnson,Mississippi State,RB,0.2021,0.152,0.093,0.165,0.099,0.1616
2022,Ikaika Ragsdale,North Texas,RB,0.1793,0.146,0.135,0.195,0.11,0.1611
2022,Jake Garcia,Miami,QB,0.1191,0.179,0.217,0.128,0.249,0.1608
2022,Owen McCown,Colorado,QB,0.1331,0.15,0.213,0.145,0.203,0.1605
2022,Logan Fife,Fresno State,QB,0.1564,0.138,0.21,0.114,0.211,0.16
2022,Zach Evans,Ole Miss,RB,0.1801,0.173,0.11,0.183,0.105,0.16
2022,Deneric Prince,Tulsa,RB,0.1962,0.153,0.108,0.191,0.089,0.1597
2022,Jayshon Jackson,Ball State,WR,0.1429,0.127,0.255,0.164,0.18,0.1597
2022,Cam Wiley,Akron,RB,0.1831,0.168,0.096,0.241,0.066,0.1593
2022,Tavion Thomas,Utah,RB,0.1573,0.165,0.155,0.205,0.113,0.1593
2022,Jordan Waters,Duke,RB,0.1459,0.18,0.148,0.265,0.103,0.1592
2022,Tony Mathis,West Virginia,RB,0.1589,0.172,0.142,0.219,0.109,0.1584
2022,Jarquez Hunter,Auburn,RB,0.2018,0.171,0.069,0.213,0.083,0.1578
2022,Ethan Hampton,Northern Illinois,QB,0.1261,0.172,0.189,0.137,0.216,0.1567
2022,Donovan Edwards,Michigan,RB,0.1847,0.157,0.092,0.13,0.147,0.1558
2022,Tahj Brooks,Texas Tech,RB,0.1671,0.157,0.14,0.153,0.142,0.1555
2022,Justin Holaday,New Mexico,QB,0.1434,0.143,0.197,0.108,0.198,0.1554
2022,Chance Nolan,Oregon State,QB,0.1354,0.145,0.221,0.075,0.262,0.1554
2022,MJ Morris,NC State,QB,0.1717,0.125,0.179,0.083,0.18,0.1551
2022,Kyle Monangai,Rutgers,RB,0.1866,0.164,0.082,0.198,0.082,0.1549
2022,Jaylen Wright,Tennessee,RB,0.1421,0.189,0.125,0.187,0.139,0.1546
2022,Larry McCammon III,Florida Atlantic,RB,0.1609,0.17,0.114,0.153,0.14,0.153
2022,Daijun Edwards,Georgia,RB,0.1422,0.191,0.12,0.21,0.1,0.1524
2022,SaRodorick Thompson,Texas Tech,RB,0.1671,0.163,0.114,0.191,0.106,0.1524
2022,Michael Washington,Buffalo,RB,0.1484,0.159,0.133,0.254,0.074,0.1514
2022,Zach Gibson,Georgia Tech,QB,0.142,0.149,0.164,0.144,0.163,0.1508
2022,Jemel Jones,Army,QB,0.1303,0.163,0.172,0.138,0.201,0.1504
2022,Austin Jones,USC,RB,0.1558,0.177,0.104,0.186,0.108,0.1504
2022,Michael Wiley,Arizona,RB,0.1671,0.172,0.056,0.245,0.048,0.1485
2022,Jirehl Brock,Iowa State,RB,0.1927,0.137,0.096,0.179,0.08,0.1482
2022,Trevor Etienne,Florida,RB,0.1662,0.162,0.105,0.136,0.129,0.1474
